iso3,cause_id,year,dalys,dalys_share_pct,ylds
DZA,344,2022,36101,0.3,32369
DZA,386,2022,184137,1.53,176619
DZA,410,2022,769826,6.47,22628
DZA,491,2022,2541687,21.38,197774
DZA,508,2022,335296,2.81,150143
DZA,526,2022,349118,2.93,93013
DZA,542,2022,557601,4.67,372630
DZA,558,2022,939507,7.85,939506
DZA,626,2022,871706,7.27,861573
DZA,640,2022,1124653,9.42,508702
DZA,653,2022,253105,2.11,244082
DZA,669,2022,319304,2.66,319304
DZA,688,2022,459557,3.86,78274
DZA,696,2022,574606,4.82,222811
DZA,717,2022,150685,1.27,32465
DZA,955,2022,39179,0.33,6331
DZA,956,2022,486906,4.09,127245
DZA,957,2022,55659,0.47,22618
DZA,961,2022,123077,1.03,19318
DZA,962,2022,826683,6.95,84243
DZA,973,2022,111117,0.93,58073
DZA,974,2022,817759,6.85,380419
EGY,344,2022,97001,0.29,80941
EGY,386,2022,379895,1.14,352577
EGY,410,2022,2269910,6.85,43524
EGY,491,2022,9214963,27.82,454873
EGY,508,2022,672873,2.03,328235
EGY,526,2022,1495322,4.51,222227
EGY,542,2022,1094149,3.29,851607
EGY,558,2022,2401022,7.21,2401020
EGY,626,2022,1826782,5.48,1817205
EGY,640,2022,2689857,8.1,1089804
EGY,653,2022,665820,2.0,650371
EGY,669,2022,700106,2.1,700106
EGY,688,2022,998799,3.01,196146
EGY,696,2022,1033903,3.12,404937
EGY,717,2022,266090,0.8,92700
EGY,955,2022,62571,0.19,13502
EGY,956,2022,2432732,7.33,618594
EGY,957,2022,288603,0.87,62142
EGY,961,2022,321850,0.97,46811
EGY,962,2022,1412613,4.26,396558
EGY,973,2022,141157,0.42,132765
EGY,974,2022,2715931,8.19,970957
LBY,344,2000,11834,0.86,11001
LBY,344,2001,11834,0.85,11003
LBY,344,2002,11826,0.83,10988
LBY,344,2003,11742,0.82,10908
LBY,344,2004,11612,0.79,10798
LBY,344,2005,11878,0.8,11077
LBY,344,2006,12336,0.82,11561
LBY,344,2007,12154,0.79,11372
LBY,344,2008,12001,0.77,11210
LBY,344,2009,12019,0.76,11217
LBY,344,2010,12101,0.75,11291
LBY,344,2011,12096,0.6,11261
LBY,344,2012,12072,0.7,11257
LBY,344,2013,12043,0.7,11242
LBY,344,2014,12100,0.6,11274
LBY,344,2015,12220,0.6,11384
LBY,344,2016,12393,0.6,11531
LBY,344,2017,12492,0.63,11612
LBY,344,2018,12582,0.64,11725
LBY,344,2019,13122,0.64,12272
LBY,344,2020,13021,0.57,12114
LBY,344,2021,12991,0.51,11972
LBY,344,2022,12986,0.62,12144
LBY,344,2023,12891,0.47,12088
LBY,386,2000,27820,2.01,26204
LBY,386,2001,27955,2.0,26327
LBY,386,2002,28001,1.96,26355
LBY,386,2003,27977,1.94,26334
LBY,386,2004,27954,1.9,26310
LBY,386,2005,27961,1.87,26315
LBY,386,2006,27940,1.84,26297
LBY,386,2007,27800,1.81,26138
LBY,386,2008,27584,1.76,25970
LBY,386,2009,27535,1.74,25936
LBY,386,2010,27620,1.71,26043
LBY,386,2011,28037,1.38,26429
LBY,386,2012,28640,1.66,27102
LBY,386,2013,29363,1.7,27870
LBY,386,2014,30107,1.49,28582
LBY,386,2015,30613,1.49,29106
LBY,386,2016,30888,1.5,29351
LBY,386,2017,30953,1.56,29429
LBY,386,2018,30947,1.56,29446
LBY,386,2019,30932,1.5,29428
LBY,386,2020,30885,1.35,29331
LBY,386,2021,30969,1.21,29330
LBY,386,2022,30853,1.46,29322
LBY,386,2023,30387,1.1,28872
LBY,410,2000,93542,6.85,1937
LBY,410,2001,96793,7.0,2055
LBY,410,2002,100217,7.11,2169
LBY,410,2003,104238,7.3,2297
LBY,410,2004,108770,7.49,2454
LBY,410,2005,113964,7.72,2638
LBY,410,2006,118431,7.91,2806
LBY,410,2007,123462,8.14,2970
LBY,410,2008,128512,8.33,3125
LBY,410,2009,134300,8.58,3280
LBY,410,2010,139028,8.74,3427
LBY,410,2011,144910,7.22,3575
LBY,410,2012,149983,8.79,3728
LBY,410,2013,151459,8.9,3731
LBY,410,2014,155797,7.8,3767
LBY,410,2015,157861,7.78,3738
LBY,410,2016,159352,7.86,3719
LBY,410,2017,165167,8.42,3851
LBY,410,2018,170775,8.74,4022
LBY,410,2019,178524,8.81,4232
LBY,410,2020,189658,8.39,4414
LBY,410,2021,212093,8.41,4582
LBY,410,2022,193794,9.28,4573
LBY,410,2023,199490,7.3,4770
LBY,491,2000,251100,18.4,17751
LBY,491,2001,257064,18.61,18438
LBY,491,2002,264505,18.78,19183
LBY,491,2003,269585,18.88,19976
LBY,491,2004,277460,19.11,20786
LBY,491,2005,284059,19.24,21568
LBY,491,2006,290839,19.43,22334
LBY,491,2007,295741,19.5,23144
LBY,491,2008,299491,19.4,24019
LBY,491,2009,307808,19.65,24956
LBY,491,2010,310448,19.5,25875
LBY,491,2011,313561,15.62,26827
LBY,491,2012,317985,18.62,27885
LBY,491,2013,332240,19.5,29015
LBY,491,2014,343252,17.17,30163
LBY,491,2015,356600,17.56,31204
LBY,491,2016,365346,18.01,32205
LBY,491,2017,370880,18.9,33209
LBY,491,2018,388706,19.89,34248
LBY,491,2019,395979,19.54,35338
LBY,491,2020,420501,18.59,36204
LBY,491,2021,466557,18.5,36866
LBY,491,2022,436810,20.92,37768
LBY,491,2023,448785,16.43,38926
