location,cause,measure,year,val,lower,upper
Libya,cardiovascular_diseases,dalys,2000,251099.912,217376.306,287039.668
Libya,cardiovascular_diseases,dalys,2023,448785.086,376463.261,519193.432
Libya,cardiovascular_diseases,incidence,2000,20075.505,18834.31,21416.75
Libya,cardiovascular_diseases,incidence,2023,39052.127,36082.219,42615.507
Libya,cardiovascular_diseases,ylds,2000,17751.253,13066.458,23122.495
Libya,cardiovascular_diseases,ylds,2023,38926.206,29015.975,51010.517
Libya,ischemic_heart_disease,dalys,2000,134844.536,110272.673,160972.304
Libya,ischemic_heart_disease,dalys,2023,262279.925,206300.34,320596.529
Libya,ischemic_heart_disease,incidence,2000,8674.654,7784.721,9547.005
Libya,ischemic_heart_disease,incidence,2023,17214.555,14854.953,19768.58
Libya,ischemic_heart_disease,ylds,2000,4966.73,3577.381,6709.76
Libya,ischemic_heart_disease,ylds,2023,11666.867,8534.329,15829.576
Libya,stroke,dalys,2000,72559.978,47022.683,95911.579
Libya,stroke,dalys,2023,116931.657,77741.495,168662.783
Libya,stroke,incidence,2000,4107.079,3751.757,4440.469
Libya,stroke,incidence,2023,8183.767,7419.678,9046.258
Libya,stroke,ylds,2000,6689.847,4864.117,8401.593
Libya,stroke,ylds,2023,14334.236,10437.207,17990.286
