wtp_per_daly,prob_cost_effective
0.0,0.0002
150.67360666239594,0.0008
301.3472133247919,0.0024
452.0208199871878,0.0074
602.6944266495838,0.0196
753.3680333119797,0.0436
904.0416399743756,0.0774
1054.7152466367716,0.1222
1205.3888532991675,0.1794
1356.0624599615635,0.24
1506.7360666239595,0.3062
1657.4096732863554,0.368
1808.0832799487512,0.4288
1958.7568866111471,0.4868
2109.430493273543,0.5424
2260.1040999359393,0.593
2410.777706598335,0.6382
2561.451313260731,0.6842
2712.124919923127,0.7194
2862.7985265855227,0.7576
3013.472133247919,0.7898
3164.1457399103147,0.8148
3314.819346572711,0.8376
3465.4929532351066,0.86
3616.1665598975023,0.881
3766.8401665598985,0.8968
3917.5137732222943,0.91
4068.1873798846905,0.9214
4218.860986547086,0.9316
4369.534593209482,0.9386
4520.208199871879,0.9464
4670.881806534274,0.9532
4821.55541319667,0.959
4972.229019859066,0.9666
5122.902626521462,0.9702
5273.576233183858,0.9738
5424.249839846254,0.9772
5574.92344650865,0.9796
5725.597053171045,0.9818
5876.270659833442,0.984
6026.944266495838,0.9852
6177.617873158233,0.9872
6328.291479820629,0.9884
6478.9650864830255,0.9904
6629.638693145422,0.9908
6780.312299807817,0.991
6930.985906470213,0.9926
7081.659513132609,0.9928
7232.333119795005,0.9938
7383.006726457401,0.9942
7533.680333119797,0.9942
7684.353939782193,0.9944
7835.027546444589,0.9944
7985.701153106985,0.9956
8136.374759769381,0.9962
8287.048366431776,0.9962
8437.721973094172,0.9968
8588.395579756569,0.997
8739.069186418965,0.9974
8889.742793081361,0.9976
9040.416399743757,0.998
9191.090006406152,0.998
9341.763613068548,0.9984
9492.437219730944,0.9986
9643.11082639334,0.9988
9793.784433055736,0.9988
9944.458039718133,0.9988
10095.131646380529,0.9992
10245.805253042923,0.9992
10396.47885970532,0.9994
10547.152466367716,0.9994
10697.826073030112,0.9994
10848.499679692508,0.9994
10999.173286354904,0.9994
11149.8468930173,0.9996
11300.520499679695,0.9998
11451.19410634209,0.9998
11601.867713004487,0.9998
11752.541319666883,0.9998
11903.21492632928,0.9998
12053.888532991676,0.9998
12204.562139654072,0.9998
12355.235746316466,0.9998
12505.909352978862,0.9998
12656.582959641259,0.9998
12807.256566303655,0.9998
12957.930172966051,1.0
13108.603779628447,1.0
13259.277386290843,1.0
13409.950992953238,1.0
13560.624599615634,1.0
13711.29820627803,1.0
13861.971812940426,1.0
14012.645419602823,1.0
14163.319026265219,1.0
14313.992632927615,1.0
14464.66623959001,1.0
14615.339846252406,1.0
14766.013452914802,1.0
14916.687059577198,1.0
15067.360666239594,1.0
15218.03427290199,1.0
15368.707879564387,1.0
15519.381486226783,1.0
15670.055092889177,1.0
15820.728699551573,1.0
15971.40230621397,1.0
16122.075912876366,1.0
16272.749519538762,1.0
16423.423126201156,1.0
16574.096732863552,1.0
16724.77033952595,1.0
16875.443946188345,1.0
17026.11755285074,1.0
17176.791159513137,1.0
17327.464766175533,1.0
17478.13837283793,1.0
17628.811979500326,1.0
17779.485586162722,1.0
17930.15919282512,1.0
18080.832799487514,1.0
18231.506406149907,1.0
18382.180012812303,1.0
18532.8536194747,1.0
18683.527226137096,1.0
18834.20083279949,1.0
18984.874439461888,1.0
19135.548046124284,1.0
19286.22165278668,1.0
19436.895259449077,1.0
19587.568866111473,1.0
19738.24247277387,1.0
19888.916079436265,1.0
20039.58968609866,1.0
20190.263292761058,1.0
20340.936899423454,1.0
20491.610506085846,1.0
20642.284112748242,1.0
20792.95771941064,1.0
20943.631326073035,1.0
21094.30493273543,1.0
