iso3,cause,cause_id,year,dalys,dalys_share_pct,ylds,ylls,yll_share_pct
LBY,Cardiovascular diseases,491,2022,436810,20.92,37768,399042,91.35367780041666
LBY,Other non-communicable diseases,640,2022,199911,9.54,91946,107965,54.00653290714368
LBY,Neoplasms,410,2022,193794,9.28,4573,189221,97.64027782077876
LBY,Mental disorders,558,2022,174296,8.29,174296,0,0.0
LBY,Diabetes & kidney diseases,974,2022,151516,7.23,76712,74804,49.37036352596426
LBY,Musculoskeletal disorders,626,2022,145658,6.92,143956,1702,1.1684905738098834
LBY,Respiratory infections & TB,956,2022,137573,6.56,42837,94736,68.86234944356814
LBY,Unintentional injuries,696,2022,87802,4.19,38434,49368,56.22650964670509
LBY,Neurological disorders,542,2022,84422,4.02,62702,21720,25.72789083414276
LBY,Transport injuries,688,2022,80382,3.84,13881,66501,82.73120847951034
