indicator_code,indicator,iso3,country,first_year,first_value,latest_year,latest_value,latest_low,latest_high,abs_change,aarc_pct,rank_high_is_1
NCDMORT3070,Premature NCD mortality,LBY,Libya,2000,20.0,2021,19.8,11.8,28.0,-0.1999999999999993,-0.06442688362970565,3
NCDMORT3070,Premature NCD mortality,TUN,Tunisia,2000,18.6,2021,13.0,,,-5.600000000000001,-1.2081314811455,5
NCDMORT3070,Premature NCD mortality,DZA,Algeria,2000,18.0,2021,13.3,,,-4.699999999999999,-1.5076592560753952,4
NCDMORT3070,Premature NCD mortality,EGY,Egypt,2000,28.2,2021,26.0,,,-2.1999999999999993,-0.48544658320459066,1
NCDMORT3070,Premature NCD mortality,MAR,Morocco,2000,24.0,2021,22.0,,,-2.0,-0.3334992916471333,2
NCD_DIABETES_PREVALENCE_AGESTD,Diabetes,LBY,Libya,2000,17.5,2022,27.999,23.386,32.806,10.498999999999999,2.2117484602531134,1
NCD_DIABETES_PREVALENCE_AGESTD,Diabetes,TUN,Tunisia,2000,10.365,2022,15.874,,,5.509,2.1054495160913906,5
NCD_DIABETES_PREVALENCE_AGESTD,Diabetes,DZA,Algeria,2000,12.494,2022,18.66,,,6.166,1.9520091767749035,4
NCD_DIABETES_PREVALENCE_AGESTD,Diabetes,EGY,Egypt,2000,13.612,2022,27.782,,,14.17,3.5131451134487928,2
NCD_DIABETES_PREVALENCE_AGESTD,Diabetes,MAR,Morocco,2000,13.22,2022,18.747,,,5.526999999999999,1.658653076177647,3
NCD_BMI_30A,Obesity,LBY,Libya,2000,23.818,2024,33.659,30.825,36.703,9.840999999999998,1.3829828751607434,2
NCD_BMI_30A,Obesity,TUN,Tunisia,2000,16.202,2024,26.085,,,9.883,1.9934561381495204,3
NCD_BMI_30A,Obesity,DZA,Algeria,2000,13.403,2024,23.567,,,10.164,2.4036127236516998,4
NCD_BMI_30A,Obesity,EGY,Egypt,2000,27.865,2024,43.932,,,16.067000000000004,1.902054016337971,1
NCD_BMI_30A,Obesity,MAR,Morocco,2000,11.38,2024,21.561,,,10.181,2.7225126309193692,5
NCD_PAA,Physical inactivity,LBY,Libya,2000,33.938,2022,45.562,36.542,54.466,11.623999999999995,1.3371817267745318,1
NCD_PAA,Physical inactivity,TUN,Tunisia,2000,22.688,2022,33.357,,,10.669,1.7748879261934987,3
NCD_PAA,Physical inactivity,DZA,Algeria,2000,23.888,2022,29.037,,,5.148999999999997,0.8977251799956127,4
NCD_PAA,Physical inactivity,EGY,Egypt,2000,30.626,2022,33.801,,,3.1750000000000007,0.44610748703278574,2
NCD_PAA,Physical inactivity,MAR,Morocco,2000,21.72,2022,24.509,,,2.7890000000000015,0.5480880572506601,5
M_Est_tob_curr_std,Tobacco use,LBY,Libya,2000,34.4,2024,24.2,18.5,29.9,-10.2,-1.4649634721255493,3
M_Est_tob_curr_std,Tobacco use,TUN,Tunisia,2000,32.9,2024,24.4,,,-8.5,-1.2172541166351527,2
M_Est_tob_curr_std,Tobacco use,DZA,Algeria,2000,20.5,2024,22.4,,,1.8999999999999986,0.4090137699943512,4
M_Est_tob_curr_std,Tobacco use,EGY,Egypt,2000,19.7,2024,25.0,,,5.300000000000001,1.0280879020303122,1
M_Est_tob_curr_std,Tobacco use,MAR,Morocco,2000,20.0,2024,12.5,,,-7.5,-1.9158011641742756,5
NCD_HYP_PREVALENCE_A,Hypertension,LBY,Libya,2000,44.0,2019,42.7,34.2,51.3,-1.2999999999999972,-0.17576990057775363,1
NCD_HYP_PREVALENCE_A,Hypertension,TUN,Tunisia,2000,35.0,2019,34.7,,,-0.29999999999999716,-0.03238176174134552,5
NCD_HYP_PREVALENCE_A,Hypertension,DZA,Algeria,2000,37.7,2019,36.2,,,-1.5,-0.23081450591196204,3
NCD_HYP_PREVALENCE_A,Hypertension,EGY,Egypt,2000,37.5,2019,38.2,,,0.7000000000000028,0.07755652546223507,2
NCD_HYP_PREVALENCE_A,Hypertension,MAR,Morocco,2000,37.7,2019,35.3,,,-2.4000000000000057,-0.36287206900440616,4
