indicator_code,iso3,year,sex,value,low,high
GHED_CHEGDP_SHA2011,DZA,2000,both,3.215,,
GHED_CHEGDP_SHA2011,DZA,2001,both,3.536,,
GHED_CHEGDP_SHA2011,DZA,2002,both,3.442,,
GHED_CHEGDP_SHA2011,DZA,2003,both,3.326,,
GHED_CHEGDP_SHA2011,DZA,2004,both,3.29,,
GHED_CHEGDP_SHA2011,DZA,2005,both,3.119,,
GHED_CHEGDP_SHA2011,DZA,2006,both,3.19,,
GHED_CHEGDP_SHA2011,DZA,2007,both,3.62,,
GHED_CHEGDP_SHA2011,DZA,2008,both,3.983,,
GHED_CHEGDP_SHA2011,DZA,2009,both,4.892,,
GHED_CHEGDP_SHA2011,DZA,2010,both,4.64,,
GHED_CHEGDP_SHA2011,DZA,2011,both,4.826,,
GHED_CHEGDP_SHA2011,DZA,2012,both,5.637,,
GHED_CHEGDP_SHA2011,DZA,2013,both,5.645,,
GHED_CHEGDP_SHA2011,DZA,2014,both,6.015,,
GHED_CHEGDP_SHA2011,DZA,2015,both,6.334,,
GHED_CHEGDP_SHA2011,DZA,2016,both,6.001,,
GHED_CHEGDP_SHA2011,DZA,2017,both,5.948,,
GHED_CHEGDP_SHA2011,DZA,2018,both,5.932,,
GHED_CHEGDP_SHA2011,DZA,2019,both,5.417,,
GHED_CHEGDP_SHA2011,DZA,2020,both,5.638,,
GHED_CHEGDP_SHA2011,DZA,2021,both,5.022,,
GHED_CHEGDP_SHA2011,DZA,2022,both,3.635,,
GHED_CHEGDP_SHA2011,DZA,2023,both,4.351,,
GHED_CHEGDP_SHA2011,EGY,2000,both,4.922,,
GHED_CHEGDP_SHA2011,EGY,2001,both,5.4,,
GHED_CHEGDP_SHA2011,EGY,2002,both,5.511,,
GHED_CHEGDP_SHA2011,EGY,2003,both,5.224,,
GHED_CHEGDP_SHA2011,EGY,2004,both,4.857,,
GHED_CHEGDP_SHA2011,EGY,2005,both,4.922,,
GHED_CHEGDP_SHA2011,EGY,2006,both,4.842,,
GHED_CHEGDP_SHA2011,EGY,2007,both,4.445,,
GHED_CHEGDP_SHA2011,EGY,2008,both,4.466,,
GHED_CHEGDP_SHA2011,EGY,2009,both,4.379,,
GHED_CHEGDP_SHA2011,EGY,2010,both,4.153,,
GHED_CHEGDP_SHA2011,EGY,2011,both,4.357,,
GHED_CHEGDP_SHA2011,EGY,2012,both,4.459,,
GHED_CHEGDP_SHA2011,EGY,2013,both,4.671,,
GHED_CHEGDP_SHA2011,EGY,2014,both,4.774,,
GHED_CHEGDP_SHA2011,EGY,2015,both,5.062,,
GHED_CHEGDP_SHA2011,EGY,2016,both,5.075,,
GHED_CHEGDP_SHA2011,EGY,2017,both,5.347,,
GHED_CHEGDP_SHA2011,EGY,2018,both,4.749,,
GHED_CHEGDP_SHA2011,EGY,2019,both,4.599,,
GHED_CHEGDP_SHA2011,EGY,2020,both,4.154,,
GHED_CHEGDP_SHA2011,EGY,2021,both,4.61,,
GHED_CHEGDP_SHA2011,EGY,2022,both,4.724,,
GHED_CHEGDP_SHA2011,EGY,2023,both,4.884,,
GHED_CHEGDP_SHA2011,LBY,2000,both,3.319,,
GHED_CHEGDP_SHA2011,LBY,2001,both,3.926,,
GHED_CHEGDP_SHA2011,LBY,2002,both,4.738,,
GHED_CHEGDP_SHA2011,LBY,2003,both,3.973,,
GHED_CHEGDP_SHA2011,LBY,2004,both,3.383,,
GHED_CHEGDP_SHA2011,LBY,2005,both,2.517,,
GHED_CHEGDP_SHA2011,LBY,2006,both,2.3,,
GHED_CHEGDP_SHA2011,LBY,2007,both,2.419,,
GHED_CHEGDP_SHA2011,LBY,2008,both,2.244,,
GHED_CHEGDP_SHA2011,LBY,2009,both,3.583,,
GHED_CHEGDP_SHA2011,LBY,2010,both,3.281,,
GHED_CHEGDP_SHA2011,LBY,2011,both,4.019,,
GHED_CHEGDP_SHA2011,LBY,2012,both,3.956,,
GHED_CHEGDP_SHA2011,LBY,2013,both,4.975,,
GHED_CHEGDP_SHA2011,LBY,2014,both,5.178,,
GHED_CHEGDP_SHA2011,LBY,2015,both,5.806,,
GHED_CHEGDP_SHA2011,LBY,2016,both,6.172,,
GHED_CHEGDP_SHA2011,LBY,2017,both,4.677,,
GHED_CHEGDP_SHA2011,LBY,2018,both,4.866,,
GHED_CHEGDP_SHA2011,LBY,2019,both,5.548,,
GHED_CHEGDP_SHA2011,LBY,2020,both,7.107,,
GHED_CHEGDP_SHA2011,LBY,2021,both,6.055,,
GHED_CHEGDP_SHA2011,LBY,2022,both,4.744,,
GHED_CHEGDP_SHA2011,LBY,2023,both,7.805,,
GHED_CHEGDP_SHA2011,MAR,2000,both,3.693,,
GHED_CHEGDP_SHA2011,MAR,2001,both,3.816,,
GHED_CHEGDP_SHA2011,MAR,2002,both,4.061,,
GHED_CHEGDP_SHA2011,MAR,2003,both,4.08,,
GHED_CHEGDP_SHA2011,MAR,2004,both,4.232,,
GHED_CHEGDP_SHA2011,MAR,2005,both,4.374,,
GHED_CHEGDP_SHA2011,MAR,2006,both,4.566,,
GHED_CHEGDP_SHA2011,MAR,2007,both,4.808,,
GHED_CHEGDP_SHA2011,MAR,2008,both,4.838,,
GHED_CHEGDP_SHA2011,MAR,2009,both,5.273,,
GHED_CHEGDP_SHA2011,MAR,2010,both,5.419,,
GHED_CHEGDP_SHA2011,MAR,2011,both,5.37,,
GHED_CHEGDP_SHA2011,MAR,2012,both,5.396,,
GHED_CHEGDP_SHA2011,MAR,2013,both,5.255,,
GHED_CHEGDP_SHA2011,MAR,2014,both,5.416,,
GHED_CHEGDP_SHA2011,MAR,2015,both,5.104,,
GHED_CHEGDP_SHA2011,MAR,2016,both,5.092,,
GHED_CHEGDP_SHA2011,MAR,2017,both,4.989,,
GHED_CHEGDP_SHA2011,MAR,2018,both,4.945,,
GHED_CHEGDP_SHA2011,MAR,2019,both,5.02,,
GHED_CHEGDP_SHA2011,MAR,2020,both,5.789,,
GHED_CHEGDP_SHA2011,MAR,2021,both,5.453,,
GHED_CHEGDP_SHA2011,MAR,2022,both,5.753,,
GHED_CHEGDP_SHA2011,MAR,2023,both,6.064,,
GHED_CHEGDP_SHA2011,TUN,2000,both,4.813,,
GHED_CHEGDP_SHA2011,TUN,2001,both,4.861,,
GHED_CHEGDP_SHA2011,TUN,2002,both,5.12,,
GHED_CHEGDP_SHA2011,TUN,2003,both,5.209,,
GHED_CHEGDP_SHA2011,TUN,2004,both,5.199,,
GHED_CHEGDP_SHA2011,TUN,2005,both,5.146,,
GHED_CHEGDP_SHA2011,TUN,2006,both,5.131,,
GHED_CHEGDP_SHA2011,TUN,2007,both,5.175,,
GHED_CHEGDP_SHA2011,TUN,2008,both,5.164,,
GHED_CHEGDP_SHA2011,TUN,2009,both,5.406,,
GHED_CHEGDP_SHA2011,TUN,2010,both,5.61,,
GHED_CHEGDP_SHA2011,TUN,2011,both,6.123,,
GHED_CHEGDP_SHA2011,TUN,2012,both,6.29,,
GHED_CHEGDP_SHA2011,TUN,2013,both,6.514,,
GHED_CHEGDP_SHA2011,TUN,2014,both,6.45,,
GHED_CHEGDP_SHA2011,TUN,2015,both,6.213,,
GHED_CHEGDP_SHA2011,TUN,2016,both,6.248,,
GHED_CHEGDP_SHA2011,TUN,2017,both,6.186,,
GHED_CHEGDP_SHA2011,TUN,2018,both,5.938,,
GHED_CHEGDP_SHA2011,TUN,2019,both,6.025,,
GHED_CHEGDP_SHA2011,TUN,2020,both,7.056,,
GHED_CHEGDP_SHA2011,TUN,2021,both,7.342,,
GHED_CHEGDP_SHA2011,TUN,2022,both,7.513,,
GHED_CHEGDP_SHA2011,TUN,2023,both,7.985,,
GHED_CHE_pc_US_SHA2011,DZA,2000,both,61.858,,
GHED_CHE_pc_US_SHA2011,DZA,2001,both,67.059,,
GHED_CHE_pc_US_SHA2011,DZA,2002,both,66.682,,
GHED_CHE_pc_US_SHA2011,DZA,2003,both,75.951,,
GHED_CHE_pc_US_SHA2011,DZA,2004,both,92.688,,
GHED_CHE_pc_US_SHA2011,DZA,2005,both,100.837,,
GHED_CHE_pc_US_SHA2011,DZA,2006,both,116.775,,
GHED_CHE_pc_US_SHA2011,DZA,2007,both,150.867,,
GHED_CHE_pc_US_SHA2011,DZA,2008,both,206.372,,
GHED_CHE_pc_US_SHA2011,DZA,2009,both,207.202,,
GHED_CHE_pc_US_SHA2011,DZA,2010,both,227.954,,
GHED_CHE_pc_US_SHA2011,DZA,2011,both,285.502,,
GHED_CHE_pc_US_SHA2011,DZA,2012,both,340.092,,
GHED_CHE_pc_US_SHA2011,DZA,2013,both,337.573,,
GHED_CHE_pc_US_SHA2011,DZA,2014,both,366.586,,
